Id,Designator,Footprint,Quantity,Designation,Manufacturer Nr.,Mouser Nr.
1,Y1,NX3225GA16000MSTDCRG1,1,NX3225GA-26MHZ,NX3225GA-26.000MHZ-EXS00A-CG01972,344-NX3225GA26MHZEXS
2,"C16,C1,C10",Cap_Murata_GRM_0402,3,100nF,GRM155C71H104JE19J,81-GRM155C71H104JE9J
3,"C2,C3",Cap_Murata_GRM_0402,2,27pF,GRM1555C1H270JA01D,81-GRM1555C1H270JA1D
4,"C5,C6,C13,C11,C12",Cap_Murata_GRM_0402,5,220pF,GRM1555C1H221JA01J,81-GRM1555C1H221JA1J
5,U1,CC1101RGP,1,CC1101RGP,CC1101RGPR,595-CC1101RGPR
6,R6,R_Bourns_CR_0603,1,442k,CR0603-FX-4423ELF,652-CR0603FX4423ELF
7,C19,Cap_Murata_GRM_0402,1,6.8pF,GRM1555C1E6R8BA01D,81-GRM1555C1E6R8BA1D
8,"R8,R2,R3",R_Vishay_CRCW_0402,3,10k,CRCW040210K0FKEDC,71-CRCW040210K0FKEDC
9,C22,Cap_Murata_GRM_0603,1,4.7uF,GRM188R61C475KE11D,81-GRM188R61C475KE1D
10,R7,R_Bourns_CR_0603,1,97.6k,CR0603-FX-9762ELF,652-CR0603FX-9762ELF
11,"L3,L4,L1",L_Murata_LQG_0402,3,27nH,LQG15HS27NJ02D,81-LQG15HS27NJ02D
12,"C20,C17,C21",Cap_Murata_GRM_0402,3,10uF,GRM155R61A106ME11D,81-GRM155R61A106ME1D
13,D4,SOD3716X135N,1,B5819W-TP,B5819W-TP,833-B5819W-TP
14,"D3,D2,D1",SODFL1006X40N,3,CPDQ5V0-HF,CPDQ5V0-HF,750-CPDQ5V0-HF
15,R1,R_KOA_RK_0402,1,56k,RK73H1ETTP5602F,660-RK73H1ETTP5602F
16,J1,Molex-SD-73251-129,1,73251-1290,73251-1290,538-73251-1290
17,"R4,R5",R_Vishay_CRCW_0402,2,5k1,CRCW04025K10FKEDC,71-CRCW04025K10FKEDC
18,"C7,C4",Cap_Murata_GRM_0402,2,3.9pF,GRM1555C1H3R9CA01D,81-GRM1555C1H3R9CA1D
19,J2,GCT_USB4105-GF-A,1,USB4105-GF-A,USB4105-GF-A,640-USB4105-GF-A
20,IC1,ESP32C3WROOM02N4,1,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM-02-N4,356-ESP32C3WROOM02N4
21,C8,Cap_Murata_GRM_0402,1,8.2pF,GRM1555C1H8R2BA01D,81-GRM1555C1H8R2BA1D
22,C18,Cap_Murata_GRM_0402,1,1uF,GRM155C81A105KA12J,81-GRM155C81A105KA2J
23,C9,Cap_Murata_GRM_0402,1,5.6pF,GRM1555C1E5R6CA01D,81-GRM1555C1E5R6CA1D
24,"C15,C14",Cap_Murata_GRM_0402,2,10nF,GRM155R71E103KA01D,81-GRM36X103K25
25,L2,L_Murata_LQG_0402,1,22nH,LQG15HS22NJ02D,81-LQG15HS22NJ02D
26,L5,ASPI0418FS,1,2.2uH,ASPI-0418FS-2R2M-T3,815-ASPI418FS2R2MT3
27,IC2,TLV62568DBVR,1,TLV62568DBVR,TLV62568DBVR,595-TLV62568DBVR
